排名,名字,评分,导演,类型,国家,年份,评价
149,玩具总动员3,8.8,李·昂克里奇,喜剧 动画 奇幻 冒险,美国,2010,跨度十五年的欢乐与泪水。
150,萤火之森,8.7,大森贵弘,剧情 爱情 动画 奇幻,日本,2011,触不到的恋人。
151,7号房的礼物,8.7,李焕庆,剧情 喜剧 家庭,韩国,2013,《我是山姆》的《美丽人生》。
152,哈利·波特与死亡圣器(下),8.6,大卫·叶茨,剧情 悬疑 奇幻 冒险,美国 英国,2011,10年的完美句点。
153,花样年华,8.5,王家卫,剧情 爱情,香港 法国,2000,偷情本没有这样美。
154,海边的曼彻斯特,8.6,肯尼斯·罗纳根,剧情 家庭,美国,2016,我们都有权利不与自己的过去和解。
155,荒蛮故事,8.7,达米安·斯兹弗隆,剧情 喜剧 犯罪,阿根廷 西班牙,2014,始于荒诞，止于更荒诞。
156,我是山姆,8.8,杰茜·尼尔森,剧情 家庭,美国,2001,爱并不需要智商 。
157,二十二,8.8,郭柯,纪录片,中国大陆,2015,有一些东西不应该被遗忘。
158,人工智能,8.6,史蒂文·斯皮尔伯格,冒险 剧情 科幻,美国,2001,对爱的执着，可以超越一切。
159,浪潮,8.7,丹尼斯·甘塞尔,剧情 惊悚,德国,2008,世界离独裁只有五天。
160,小森林 冬春篇,8.9,森淳一,剧情,日本,2015,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
161,香水,8.4,汤姆·提克威,剧情 犯罪 奇幻,德国 法国 西班牙 美国,2006,一个单凭体香达到高潮的男人。
162,冰川时代,8.4,卡洛斯·沙尔丹哈,喜剧 动画 冒险,美国,2002,松鼠才是角儿。
163,朗读者,8.5,史蒂芬·戴德利,剧情 爱情,美国 德国,2008,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
164,时空恋旅人,8.6,理查德·柯蒂斯,剧情 爱情 奇幻,英国,2013,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
165,追随,8.9,克里斯托弗·诺兰,犯罪 悬疑 惊悚,英国,1998,诺兰的牛逼来源于内心散发出的恐惧。
166,唐伯虎点秋香,8.4,李力持,喜剧 爱情 古装,香港,1993,华太师是黄霑，吴镇宇四大才子之一。
167,撞车,8.6,保罗·哈吉斯,犯罪 剧情,美国 德国,2004,天使与魔鬼的冲撞。
168,心迷宫,8.6,忻钰坤,剧情 犯罪 悬疑,中国大陆,2014,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
169,超能陆战队,8.6,唐·霍尔,喜剧 动作 科幻 动画 冒险,美国,2014,Balalala~~~
170,罗生门,8.7,黑泽明,犯罪 剧情 悬疑,日本,1950,人生的N种可能性。
171,蝙蝠侠：黑暗骑士崛起,8.5,克里斯托弗·诺兰,剧情 动作 科幻 犯罪 惊悚,美国 英国,2012,诺兰就是保证。
172,一次别离,8.7,阿斯哈·法哈蒂,剧情 家庭,伊朗 法国,2011,只有有信仰的人才能说出事实真相。
173,战争之王,8.5,安德鲁·尼科尔,剧情 犯罪,美国 法国,2005,做一颗让别人需要你的棋子。
174,可可西里,8.7,陆川,剧情 犯罪,中国大陆 香港,2004,坚硬的信仰。
175,梦之安魂曲,8.7,达伦·阿伦诺夫斯基,剧情,美国,2000,一场没有春天的噩梦。
176,未麻的部屋,8.8,今敏,动画 奇幻 惊悚,日本,1997,好的剧本是，就算你猜到了结局也猜不到全部。
177,地球上的星星,8.8,阿米尔·汗,剧情 儿童 家庭,印度,2007,天使保护事件始末。
